"Defores"	"Elev"	"Pendiente"	"Dist.rio"	"Dist.ciudad"	"Dist.pueblo"	"Dist.carP"	"Dist.carS"	"Dist.agri"	"Insolac"
1	321.7	11.7	2795.2	42592.6	1766.9	11846.9	1542.9	182.5	3696.4
0	250.7	15	2296.1	41616	1358.3	11732.3	745.2	429.5	3847.9
1	274.6	10.6	818.8	32774.6	4749.6	14230.2	840	1182.2	3443.4
0	249.7	9.1	931.9	31807.4	4388.8	14816.1	150	690.7	3529.7
0	550	2.3	2269.3	29848.5	4291.7	16127.6	1261.4	2145.4	3924
0	573.2	20.2	2340.2	28886.2	4431.3	16824.3	1640.2	2690.8	2997.4
0	809.8	19	1924	27896.5	4789.7	17392.9	2423.3	3301.8	3239.5
1	1109.4	24.2	1992.2	26937.2	5304.6	16931.5	3309.3	3889	3487.1
0	871.6	16.7	660.7	13800.5	5081.6	11210	1110	1659.5	3383.9
1	353.2	7.2	780	55714	2551.6	13757.7	174.9	67.1	3896.9
1	209.2	11.1	0	54127.9	3057.6	10251.6	442.9	60	4045.2
1	150	0	67.1	50212.5	2124.9	2489.1	161.6	90	3831.9
0	390.2	13.4	979.5	44402	1832.2	1489.5	1050	900	3342.2
1	283	21	1816.2	41943.7	810.6	11167.2	678.8	702.3	3204.8
1	245.6	11.6	1201.5	37880.8	3856.8	13060.8	201.2	800.5	3821.1
0	454	27.3	1804	32997.2	4380	15054.8	1015.1	1961	2933.7
0	878.7	28.7	2535.1	30090.5	3302.2	16859.6	1776.1	2661.9	2738.6
0	628.9	32.9	1523.2	12624	2875.8	11084.6	342.1	241.9	2338.3
1	197.5	8.2	84.9	53594.1	3301.8	11655	432.7	67.1	4035.6
1	150	0	216.3	49224.8	1832.2	2044.6	603.7	94.9	3834.2
1	349.9	6.9	1951.6	42551.6	780	1165	1471.2	915.9	3850.6
1	153.4	5.9	466.7	40027.4	1963.8	13725	67.1	42.4	3621.6
0	402.2	10.1	2441.8	37108.2	4167.5	14284.1	216.3	2121.7	3460.3
1	580	23.7	2942.4	36147.5	4440.1	14599.7	60	2563.2	3776
1	464	26.9	2897	32290.9	2984.7	16424.7	335.4	2700.2	2675.6
0	573.8	21.7	3103.9	31310.4	2468.4	17010.4	402.5	2886.2	3545.2
0	900	2.5	2370.8	30361.2	2313.1	17616.8	1106.3	3288.7	4211.9
0	647.5	21.5	1288.3	26563.8	4714.7	18339.3	3709.9	2518	4080
1	1000	4.5	1425.6	20975.1	6307.1	16122.3	1559.1	2763.9	4286.1
1	609.3	27.3	513.5	11414.8	1680	11232.9	365	658.6	4324
1	211.7	20.5	150	54768.3	2139.3	16429.6	831.9	30	3938.1
1	260.9	9	658	54323.8	1207.5	15565.4	390	67.1	4084.1
1	304.4	12.5	1113.2	53893.2	547.4	14717	247.4	84.9	4234.2
1	350	3.7	510.9	53052.9	1994.5	13056.1	484.7	108.2	3978.1
0	233.6	17.4	0	52655.2	2959.7	12276.4	626.4	30	3143
0	258.7	15.7	953.4	51540.1	994.1	9991.4	335.4	84.9	3709.8
1	250	0.1	1092	50538.5	1350	8131.4	432.7	90	3877.1
1	277	3.2	1569.8	48405.8	1200	3120.3	60	84.9	3997.2
1	150	0	201.2	48648.4	2423.3	702.9	926.1	268.3	3830.4
1	235.4	15	169.7	45397.9	1894.5	2248.6	2663.1	276.6	3263.2
0	350	0.2	540	43239.3	979.5	2940	956.7	745.2	3927
1	304.6	21.1	1281.6	40017.2	1783.9	14741.8	662.7	930.5	2904
0	635.9	24	3246.8	37362.7	3166.1	15263.8	1113.6	2743.2	2637.2
1	497.3	29	0	27837.7	3376.2	19657	2522.9	1477.3	4186.6
1	442.7	9.8	990	26910.6	4307.7	19290.7	2753.6	1584	4084.6
1	857.2	30.6	1489.5	25043.1	4679.3	18573.4	1901.6	2489.3	4293.8
1	750	0.6	590.9	24131.7	4560.4	18200	924.2	2277.8	4017.3
1	759.4	24.5	67.1	12287.6	2886.2	12469.6	0	1528.8	3832.5
0	531.6	15.9	458.9	11271.9	1965.4	11491.4	234.3	637.8	3347.3
1	291.3	6.1	1500.3	53437.6	1170	16084.3	150	60	3909.1
0	251.1	9.7	603	50973.7	900	11304.3	330	67.1	3572.6
1	250	0	212.1	47232.8	2952.4	3107.3	192.1	108.2	3882.8
1	179	10	1124.5	47729.3	2892.6	597.7	725.6	201.2	3573.2
1	400.7	9.3	630.7	44043.8	1092	3669.9	2042	774.2	3571.6
0	350	4.2	1024	43590	1865.3	4422.3	1527.4	690.7	3675.8
1	493.6	24.7	2087.5	39120.2	2319.5	15829.9	429.5	1783.2	4210.4
1	493.4	27.5	2351.7	30995.2	323.1	19219.4	780	2013.6	3656.4
0	700.9	10.9	1323.1	22230.2	4067.8	18356.1	469.6	524.8	3531.6
0	968.9	27.8	1332.6	16230.3	6014.7	15658.3	361.2	4183.9	3662.6
0	1057.4	18.1	892	12240.3	2571.1	12774.4	990	2057.8	3954
0	626.2	20.2	1210.8	11220.4	2040.2	11821.4	812.2	1517.9	3471.4
